,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1120,1018,0,2.2,0,8.0,0.0,16.0,0.6,153.0,8.0,10.0,992.0,1433.0,3143.0,17.0,12.0,20,0,1,0,3
591,1658,1,1.4,0,0.0,1.0,39.0,0.7,182.0,1.0,5.0,410.0,522.0,3483.0,10.0,1.0,15,1,0,1,3
989,559,1,0.5,0,10.0,0.0,11.0,0.4,82.0,5.0,14.0,541.0,823.0,2019.0,10.0,4.0,16,1,1,1,1
790,911,1,2.9,0,0.0,0.0,46.0,0.1,181.0,5.0,1.0,461.0,670.0,363.0,9.0,5.0,17,0,1,0,0
1778,1492,1,1.5,0,5.0,0.0,11.0,0.9,85.0,3.0,7.0,1684.0,1746.0,2259.0,14.0,12.0,19,0,1,1,3
506,1260,1,2.0,1,2.0,1.0,23.0,0.2,123.0,7.0,10.0,905.0,1313.0,2208.0,12.0,11.0,10,1,0,1,2
457,1128,1,1.4,0,12.0,0.0,53.0,0.4,84.0,5.0,14.0,609.0,1370.0,2982.0,14.0,9.0,12,1,1,0,3
209,1277,1,0.5,1,0.0,1.0,35.0,0.4,142.0,6.0,6.0,309.0,1460.0,3559.0,18.0,17.0,6,1,1,0,3
256,601,1,1.4,0,4.0,1.0,4.0,0.1,154.0,4.0,13.0,356.0,765.0,532.0,12.0,8.0,10,1,1,1,0
786,774,1,2.8,0,7.0,1.0,55.0,0.9,124.0,3.0,18.0,8.0,896.0,3916.0,8.0,1.0,12,1,1,0,3
1137,921,0,0.6,1,1.0,0.0,60.0,0.1,83.0,2.0,3.0,1211.0,1229.0,1080.0,10.0,0.0,6,0,0,1,0
157,1224,0,0.5,0,,,,,,,,747.0,826.0,506.0,10.0,0.0,11,1,1,1,0
304,1177,0,0.9,0,1.0,1.0,29.0,0.4,191.0,2.0,8.0,178.0,882.0,311.0,18.0,5.0,19,1,0,0,0
1756,1864,0,1.9,1,2.0,0.0,57.0,0.1,181.0,6.0,6.0,1279.0,1793.0,3586.0,19.0,9.0,8,0,0,1,3
1648,645,0,2.5,0,10.0,1.0,63.0,1.0,174.0,4.0,14.0,278.0,584.0,3615.0,18.0,8.0,13,1,0,1,2
726,614,0,1.7,1,0.0,1.0,58.0,0.2,128.0,7.0,2.0,22.0,519.0,3487.0,15.0,6.0,11,1,1,1,2
1189,511,0,0.7,1,1.0,1.0,52.0,0.7,180.0,2.0,10.0,24.0,759.0,3865.0,8.0,3.0,7,1,0,1,2
1254,1083,0,1.0,0,6.0,0.0,52.0,0.9,126.0,2.0,20.0,925.0,1469.0,681.0,19.0,18.0,19,1,1,1,0
1260,1097,0,1.4,0,0.0,0.0,60.0,0.8,181.0,1.0,17.0,405.0,519.0,509.0,15.0,12.0,12,1,0,0,0
803,880,0,1.7,0,2.0,0.0,6.0,0.6,198.0,4.0,19.0,632.0,660.0,3006.0,6.0,4.0,3,1,0,0,2
1092,846,1,2.6,0,0.0,1.0,58.0,0.1,123.0,4.0,15.0,1140.0,1983.0,2248.0,16.0,8.0,13,1,0,0,2
513,1417,1,0.5,0,10.0,1.0,45.0,0.9,166.0,4.0,19.0,364.0,1029.0,2129.0,13.0,9.0,12,1,0,1,1
922,874,0,1.3,0,5.0,0.0,8.0,0.5,185.0,1.0,20.0,442.0,1248.0,582.0,6.0,4.0,15,0,0,0,0
1430,1672,1,1.7,1,1.0,1.0,44.0,0.5,172.0,8.0,4.0,1250.0,1435.0,1348.0,11.0,6.0,7,1,1,1,1
1901,965,1,1.4,0,1.0,0.0,13.0,0.9,197.0,8.0,2.0,645.0,1275.0,2343.0,17.0,12.0,15,1,0,0,2
1752,1938,1,0.5,1,5.0,0.0,44.0,0.5,121.0,2.0,9.0,1299.0,1935.0,3497.0,18.0,10.0,18,0,1,0,3
